CUSTOMER_CODE|TRANSACTION_TYPE_CODE|SMS_TEXT|LINE_TEXT|INVITATION_DATE|INVITATION_TIME|TRANSACTION_DATE
Cus01_NTDRL||https://ktbshorturl-uat.feedback180.com/Ly7qzlh|https://ktbshorturl-uat.feedback180.com/LW7qzl7|2025-02-19|14:04:12|2025-02-18
Cus02_NTDRL||https://ktbshorturl-uat.feedback180.com/jm7qzlv|https://ktbshorturl-uat.feedback180.com/3m7qzlb|2025-02-19|14:04:12|2025-02-18
Cus03_NTDRL||https://ktbshorturl-uat.feedback180.com/3W7qzlt|https://ktbshorturl-uat.feedback180.com/Lj7qzlf|2025-02-19|14:04:12|2025-02-18
Cus04_NTDRL||https://ktbshorturl-uat.feedback180.com/Wy7qzll|https://ktbshorturl-uat.feedback180.com/mL7qzl5|2025-02-19|14:04:12|2025-02-18
Cus05_NTDRL||https://ktbshorturl-uat.feedback180.com/3m7qzld|https://ktbshorturl-uat.feedback180.com/Lj7qzlN|2025-02-19|14:04:12|2025-02-18
Cus06_NTDRL||https://ktbshorturl-uat.feedback180.com/jm7qzlP|https://ktbshorturl-uat.feedback180.com/mL7qzln|2025-02-19|14:04:12|2025-02-18
Cus07_NTDRL||https://ktbshorturl-uat.feedback180.com/3y7qzlu|https://ktbshorturl-uat.feedback180.com/jL7qzlT|2025-02-19|14:04:12|2025-02-18
Cus08_NTDRL||https://ktbshorturl-uat.feedback180.com/jm7qzlJ|https://ktbshorturl-uat.feedback180.com/mW7qzlg|2025-02-19|14:04:12|2025-02-18
Cus09_NTDRL||https://ktbshorturl-uat.feedback180.com/WL7qzlD|https://ktbshorturl-uat.feedback180.com/ym7qzlp|2025-02-19|14:04:12|2025-02-18
Cus10_NTDRL||https://ktbshorturl-uat.feedback180.com/WL7qzlI|https://ktbshorturl-uat.feedback180.com/LW7qzl2|2025-02-19|14:04:12|2025-02-18
Cus11_NTDRL||https://ktbshorturl-uat.feedback180.com/mW7qzlR|https://ktbshorturl-uat.feedback180.com/mm7qzlQ|2025-02-19|14:04:12|2025-02-18
Cus12_NTDRL||https://ktbshorturl-uat.feedback180.com/ym7qzl0|https://ktbshorturl-uat.feedback180.com/yW7qzl8|2025-02-19|14:04:12|2025-02-18
Cus13_NTDRL||https://ktbshorturl-uat.feedback180.com/mW7qzlK|https://ktbshorturl-uat.feedback180.com/337qzlV|2025-02-19|14:04:12|2025-02-18
Cus14_NTDRL||https://ktbshorturl-uat.feedback180.com/Lm7qzlw|https://ktbshorturl-uat.feedback180.com/y37qzlM|2025-02-19|14:04:12|2025-02-18
Cus15_NTDRL||https://ktbshorturl-uat.feedback180.com/Wy7qzlX|https://ktbshorturl-uat.feedback180.com/Wj7qzlU|2025-02-19|14:04:12|2025-02-18
Cus16_NTDRL||https://ktbshorturl-uat.feedback180.com/LW7qzl9|https://ktbshorturl-uat.feedback180.com/Lj7qzlr|2025-02-19|14:04:12|2025-02-18
Cus17_NTDRL||https://ktbshorturl-uat.feedback180.com/mj7qzla|https://ktbshorturl-uat.feedback180.com/337qzlY|2025-02-19|14:04:12|2025-02-18
Cus18_NTDRL||https://ktbshorturl-uat.feedback180.com/337qzlc|https://ktbshorturl-uat.feedback180.com/jj7qzlz|2025-02-19|14:04:12|2025-02-18
Cus19_NTDRL||https://ktbshorturl-uat.feedback180.com/yy7qzlA|https://ktbshorturl-uat.feedback180.com/L37qzlC|2025-02-19|14:04:12|2025-02-18
Cus20_NTDRL||https://ktbshorturl-uat.feedback180.com/yy7qzlG|https://ktbshorturl-uat.feedback180.com/Wy7qzl6|2025-02-19|14:04:12|2025-02-18
Cus21_NTDRL||https://ktbshorturl-uat.feedback180.com/337qzl4|https://ktbshorturl-uat.feedback180.com/337qzle|2025-02-19|14:04:12|2025-02-18
